player_name,player_number,position,height,weight,birth_year,hometown,home_state,school,passing_yards,passing_comp,passing_att,passing_pct,passing_td,passing_int,passing_long,passing_rating,rushing_yards,rushing_carries,rushing_long,rushing_td,receiving_yards,receiving_rec,receiving_long,receiving_td,tackles_solo,tackles_assists,tackles_for_loss,sacks,forced_fumbles,interceptions,interception_return_yards,interception_return_long,interception_return_td,fumble_recoveries,fumble_return_yards,fumble_return_long,fumble_return_td,pass_deflections,blocked_kicks_and_punts,kickoff_returns,kickoff_returns_yards,kickoff_returns_long,kickoff_returns_td,punt_returns,punt_return_yards,punt_return_long,punt_return_td,punts,punting_yards,punting_touchbacks,punting_long,touchdowns,field_goals,field_goal_att,field_goal_long,pat_kicks,pat_kicks_att,safeties,pat_conversions,season,team,nr
Deja Mosley,2.0,QB,5-4,125,1997,Bridgeton,NJ,Waldon University,13,2,3,66.7,0,0,NR,75.7,7.0,3,5,0,89,7,30,0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,6,63,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Karmen Henson,3.0,LB,5-5,156,1989,Chester,PA,Wilmington University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,4.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Serika Shillingsworth,4.0,WR,5-9,155,1999,Australia,NR,Guymea Technology High School,0,0,0,0.0,0,0,0,0.0,3.0,1,3,0,48,5,19,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,149,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Latasha Dragon Richardson,5.0,DE,6-1,205,1986,Philadelphia,PA,Bloomsburg University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,6.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Najiaa Michel,6.0,LB,5-4,165,1996,Philadelphia,PA,East Stroudsburg University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
India Parker,7.0,RB,5-7,170,2000,Millville,NJ,Millville High School,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Taylor Snoopy Snow,9.0,DB,5-8,140,1995,New York,NY,Bedford Stuyvesant Prep,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Radiyah Snoop Robertson,10.0,DB,5-6,150,1996,Philadelphia,PA,Chester High School,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Maria Jackson,11.0,WR,5-7,165,1995,Hudson,PA,Brandeise University,0,0,2,0.0,0,0,NR,39.6,261.0,72,31,2,36,7,24,0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,112,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2023,Phantomz,
Alla Ticket Gruzdeva,12.0,QB,5-7,145,1993,Moscow,Russia,Peoples Friendship University of Russia,389,36,109,33.0,1,6,NR,24.6,208.0,62,19,4,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,17,349,0,63,4,0,0,0,0,0,0,3,2023,Phantomz,
